state,account length,international plan,total day minutes,total day calls,customer service calls,churn
KS,128,no,265.1,110,1,FALSE
OH,107,no,161.6,123,1,FALSE
NJ,137,no,243.4,114,0,FALSE
OH,84,yes,299.4,71,2,FALSE
OK,75,yes,166.7,113,3,FALSE
AL,118,yes,223.4,98,0,FALSE
MA,121,no,218.2,88,3,FALSE
MO,147,yes,157,79,0,FALSE
LA,117,no,184.5,97,1,FALSE
WV,141,yes,258.6,84,0,FALSE
IN,65,no,129.1,137,4,TRUE
RI,74,no,187.7,127,0,FALSE
IA,168,no,128.8,96,1,FALSE
MT,95,no,156.6,88,3,FALSE
IA,62,no,120.7,70,4,FALSE
NY,161,no,332.9,67,4,TRUE
ID,85,no,196.4,139,1,FALSE
VT,93,no,190.7,114,3,FALSE
VA,76,no,189.7,66,1,FALSE
TX,73,no,224.4,90,1,FALSE
FL,147,no,155.1,117,0,FALSE
CO,77,no,62.4,89,5,TRUE
AZ,130,no,183,112,0,FALSE
SC,111,no,110.4,103,2,FALSE
VA,132,no,81.1,86,0,FALSE
NE,174,no,124.3,76,3,FALSE
WY,57,no,213,115,0,FALSE
MT,54,no,134.3,73,3,FALSE
MO,20,no,190,109,0,FALSE
HI,49,no,119.3,117,1,FALSE
IL,142,no,84.8,95,2,FALSE
NH,75,no,226.1,105,1,FALSE
LA,172,no,212,121,3,FALSE
AZ,12,no,249.6,118,1,TRUE
OK,57,no,176.8,94,0,FALSE
GA,72,no,220,80,3,FALSE
AK,36,no,146.3,128,0,FALSE
MA,78,no,130.8,64,1,FALSE
AK,136,yes,203.9,106,3,FALSE
NJ,149,no,140.4,94,1,FALSE
GA,98,no,126.3,102,3,FALSE
MD,135,yes,173.1,85,0,TRUE
AR,34,no,124.8,82,2,FALSE
ID,160,no,85.8,77,3,FALSE
WI,64,no,154,67,1,FALSE
OR,59,no,120.9,97,2,FALSE
MI,65,no,211.3,120,3,FALSE
DE,142,no,187,133,2,FALSE
ID,119,no,159.1,114,5,TRUE
WY,97,no,133.2,135,1,FALSE
IA,52,no,191.9,108,3,FALSE
IN,60,no,220.6,57,1,FALSE
VA,10,no,186.1,112,2,FALSE
UT,96,no,160.2,117,2,FALSE
WY,87,no,151,83,5,TRUE
IN,81,no,175.5,67,1,FALSE
CO,141,no,126.9,98,1,FALSE
CO,121,no,198.4,129,3,TRUE
WI,68,no,148.8,70,3,FALSE
OK,125,no,229.3,103,1,FALSE
ID,174,no,192.1,97,1,FALSE
CA,116,no,268.6,83,2,FALSE
MN,74,no,193.7,91,2,FALSE
SD,149,no,180.7,92,3,FALSE
NC,38,no,131.2,98,2,FALSE
WA,40,no,148.1,74,2,FALSE
WY,43,yes,251.5,105,0,FALSE
MN,113,yes,125.2,93,0,FALSE
UT,126,no,211.6,70,1,FALSE
TX,150,no,178.9,101,4,TRUE
NJ,138,no,241.8,93,3,FALSE
MN,162,no,224.9,97,0,FALSE
NM,147,no,248.6,83,3,FALSE
NV,90,no,203.4,146,1,FALSE
HI,85,no,235.8,109,0,FALSE
MN,50,no,157.1,90,1,FALSE
DC,82,no,300.3,109,0,TRUE
NY,144,no,61.6,117,4,TRUE
MN,46,no,214.1,72,2,FALSE
MD,70,no,170.2,98,1,FALSE
WV,144,no,201.1,99,1,FALSE
OR,116,yes,215.4,104,3,FALSE
CO,55,no,165.6,123,3,FALSE
GA,70,no,249.5,101,1,FALSE
TX,106,no,210.6,96,2,TRUE
VT,128,no,179.3,104,0,FALSE
IN,94,no,157.9,105,4,TRUE
WV,111,no,214.3,118,1,FALSE
KY,74,no,154.1,104,2,FALSE
NJ,128,no,237.9,125,1,TRUE
DC,82,no,143.9,61,1,FALSE
LA,155,no,203.4,100,0,TRUE
AR,80,no,124.3,100,1,FALSE
ME,78,no,252.9,93,3,FALSE
AZ,90,no,179.1,71,3,FALSE
AK,104,no,278.4,106,1,FALSE
MT,73,no,160.1,110,0,FALSE
AZ,99,no,198.2,87,4,FALSE
MS,120,no,212.1,131,1,TRUE
ID,77,no,251.8,72,2,TRUE
IA,98,no,161.2,114,4,FALSE
MA,108,no,178.3,137,0,FALSE
VT,135,no,151.7,82,0,FALSE
KY,95,no,135,99,1,FALSE
IN,122,no,170.5,94,1,FALSE
AZ,95,no,238.1,65,4,FALSE
MI,36,no,281.4,102,2,FALSE
NM,93,no,117.9,131,1,FALSE
CO,141,no,148.6,91,1,FALSE
UT,157,no,229.8,90,3,FALSE
MI,120,no,165,100,1,FALSE
MA,103,no,185,117,2,FALSE
AL,98,no,161,117,4,FALSE
DE,125,no,126.7,108,1,FALSE
AZ,63,no,58.9,125,1,FALSE
ME,36,yes,196.8,89,0,TRUE
NJ,64,no,162.6,83,1,FALSE
NV,74,no,282.5,114,1,TRUE
MO,112,no,113.7,117,2,FALSE
ID,97,no,239.8,125,2,FALSE
NE,46,no,210.2,92,1,FALSE
TX,41,no,213.8,102,0,FALSE
MD,121,no,190.7,103,3,FALSE
MS,193,no,170.9,124,1,FALSE
NV,130,no,154.2,119,2,FALSE
AZ,85,no,201.4,52,1,FALSE
MS,162,no,70.7,108,4,TRUE
MS,61,no,187.5,124,4,TRUE
TX,92,no,91.7,90,2,FALSE
NE,131,no,214.2,115,3,FALSE
NE,90,no,145.5,92,3,FALSE
CA,75,no,166.3,125,1,FALSE
NJ,78,no,231,115,1,FALSE
TX,82,no,200.3,96,4,FALSE
AR,163,no,197,109,1,FALSE
AL,91,yes,129.9,112,3,FALSE
NY,75,no,175.8,97,5,FALSE
FL,91,no,203.1,106,3,FALSE
AK,127,no,183.2,117,1,FALSE
NV,113,no,205,101,2,FALSE
DE,110,no,148.5,115,1,FALSE
MD,120,no,200.3,68,0,FALSE
MI,157,no,192.6,107,3,FALSE
VT,103,no,246.5,47,1,FALSE
VT,117,yes,167.1,86,2,TRUE
MI,140,no,231.9,101,3,FALSE
WA,127,no,146.7,91,1,FALSE
UT,83,yes,271.5,87,1,FALSE
LA,121,no,181.5,121,1,FALSE
RI,145,no,257.7,97,2,FALSE
IA,113,no,193.8,99,1,FALSE
NE,117,no,102.8,119,1,FALSE
OH,65,no,187.9,116,1,FALSE
RI,56,no,226,112,1,FALSE
OK,96,no,260.4,115,5,FALSE
LA,151,no,178.7,116,0,FALSE
OH,83,no,337.4,120,0,TRUE
VA,139,no,157.6,129,0,FALSE
MO,6,no,183.6,117,1,FALSE
FL,115,no,142.1,124,1,FALSE
SC,87,no,136.3,97,0,FALSE
VA,141,no,217.1,110,0,FALSE
IA,141,no,187.5,99,3,FALSE
MI,62,no,98.9,103,1,FALSE
OK,146,no,206.3,151,1,FALSE
DE,92,no,243.1,92,2,FALSE
GA,185,no,189.8,126,1,FALSE
DC,148,no,202,102,1,FALSE
AZ,94,no,170.1,124,1,FALSE
AL,32,no,230.9,87,0,FALSE
CO,68,no,237.1,105,1,FALSE
NH,64,no,182.1,91,2,FALSE
NM,25,no,119.3,87,3,FALSE
OR,65,no,116.8,87,1,FALSE
LA,179,no,219.2,92,0,FALSE
NE,94,no,252.6,104,2,FALSE
MN,62,no,147.1,91,0,FALSE
MI,127,no,202.1,103,2,FALSE
AR,116,no,173.5,93,3,FALSE
KS,70,no,232.1,122,3,FALSE
WV,94,yes,197.1,125,4,FALSE
AK,126,no,58.2,94,5,TRUE
NY,67,no,115.6,111,2,FALSE
NH,19,no,186.1,98,2,FALSE
VA,170,yes,259.9,68,3,FALSE
NM,73,no,214.3,145,1,FALSE
NY,106,no,158.7,74,1,FALSE
AZ,93,no,271.6,71,2,FALSE
WY,164,no,160.6,111,1,FALSE
WA,51,no,232.4,109,1,FALSE
CO,107,no,133.8,85,0,FALSE
TX,130,no,176.9,109,1,FALSE
KY,80,no,209.9,74,2,FALSE
MT,94,no,137.5,118,0,FALSE
OK,118,no,289.5,52,1,FALSE
MD,117,no,198.1,86,1,FALSE
TN,78,no,149.7,119,0,FALSE
TX,208,no,326.5,67,2,TRUE
ME,131,yes,292.9,101,4,TRUE
DC,63,no,83,64,0,FALSE
MN,53,no,145.7,146,3,FALSE
DE,62,no,182.3,101,2,FALSE
MD,97,no,218,86,3,FALSE
MI,105,no,140.6,109,2,FALSE
WA,157,no,152.7,105,1,FALSE
MO,66,no,106.7,76,1,FALSE
IN,122,no,243.8,98,2,FALSE
OR,38,no,194.4,94,3,FALSE
MD,106,no,213.9,95,3,FALSE
RI,99,no,217.2,112,3,FALSE
LA,99,no,241.1,72,1,FALSE
AZ,144,yes,203.5,100,0,FALSE
PA,82,no,155.2,131,1,FALSE
AZ,86,no,167.6,139,1,FALSE
FL,70,yes,226.7,98,2,TRUE
LA,93,no,179.3,93,3,FALSE
FL,93,no,151.4,89,0,FALSE
FL,120,no,180,80,3,FALSE
MD,136,no,250.2,121,1,TRUE
AL,106,no,223,121,0,FALSE
WA,81,no,183.6,116,3,FALSE
TN,127,no,166,114,1,FALSE
MS,65,no,136.1,112,1,FALSE
ME,35,no,149.3,113,2,FALSE
OK,88,no,65.4,97,2,FALSE
IN,65,no,213.4,111,1,FALSE
MO,123,no,206.9,85,3,FALSE
IA,126,no,186.2,78,2,FALSE
VA,104,no,280.2,136,4,FALSE
KY,45,no,196.6,84,0,FALSE
MD,93,yes,312,109,0,TRUE
OH,63,yes,199,110,1,FALSE
OK,100,no,203.1,96,3,FALSE
NV,53,no,168.8,97,0,FALSE
ID,92,yes,173.1,140,1,FALSE
MN,139,no,134.4,106,5,TRUE
SD,110,no,202.6,103,2,FALSE
IL,110,no,74.5,117,3,FALSE
WY,215,no,83.6,148,0,FALSE
AL,73,no,192.2,86,1,FALSE
NJ,138,no,220.2,89,0,FALSE
NV,137,yes,135.1,95,2,TRUE
IN,36,no,253.4,77,1,FALSE
WV,85,no,225,81,3,FALSE
VA,108,no,198.5,99,0,TRUE
SC,22,no,110.3,107,0,FALSE
RI,107,no,60,102,0,FALSE
IN,51,no,214.8,94,0,FALSE
AZ,94,no,181.8,85,4,FALSE
NM,119,no,154,114,2,FALSE
OR,33,no,157.4,99,4,TRUE
NJ,106,no,207.9,91,4,FALSE
MS,82,no,207,90,3,FALSE
MI,86,no,119,101,0,FALSE
TX,97,yes,143.7,117,0,FALSE
FL,106,no,165.9,126,4,FALSE
DC,108,no,138.6,122,1,FALSE
TX,114,no,84.7,118,1,FALSE
KS,92,yes,62.6,111,1,TRUE
UT,59,no,155.2,79,1,FALSE
MN,24,no,164.9,110,1,FALSE
IL,151,no,134.5,88,1,FALSE
NM,117,no,143.3,103,1,FALSE
SC,78,no,168.3,110,1,FALSE
NC,155,no,262.4,55,2,FALSE
WV,114,no,206.2,79,1,FALSE
RI,114,no,225.8,94,4,FALSE
NH,119,no,138.3,89,3,FALSE
MO,64,no,94.4,104,0,FALSE
MA,118,yes,160,123,2,FALSE
PA,101,no,206.6,105,0,FALSE
OK,117,no,134.7,121,1,FALSE
AL,49,no,214.4,78,3,FALSE
WY,139,no,192.8,104,3,FALSE
PA,92,no,151.1,90,1,FALSE
WA,83,no,221.4,103,3,FALSE
HI,148,yes,218.9,88,0,FALSE
SD,144,no,189.8,96,2,TRUE
AL,131,no,192.7,85,2,FALSE
VT,146,yes,204.4,135,3,FALSE
MT,143,no,172.3,97,2,FALSE
MN,81,no,198.4,93,2,FALSE
AK,48,no,211.7,115,1,FALSE
MI,86,no,221.6,74,1,FALSE
DE,71,no,197.9,108,3,FALSE
SD,145,no,147.5,90,2,FALSE
MI,137,no,206.4,122,2,FALSE
KS,137,no,205.9,88,2,FALSE
AL,167,no,207.6,88,0,FALSE
OK,89,no,303.9,95,1,TRUE
CT,199,no,230.6,121,0,FALSE
NE,132,no,99.5,110,0,FALSE
WI,94,no,177.1,112,1,FALSE
CT,96,no,172.7,93,5,TRUE
WI,96,no,172.7,86,1,FALSE
IN,166,no,204.2,115,1,FALSE
DC,74,no,85.7,83,2,FALSE
AR,36,no,157.6,117,0,FALSE
ME,113,no,215.5,129,4,FALSE
MN,94,no,181.5,98,1,FALSE
MD,67,no,171.7,80,2,FALSE
FL,127,no,266.6,106,1,TRUE
RI,121,no,170.4,108,0,TRUE
IA,158,no,158,106,1,FALSE
AZ,136,no,92,117,1,FALSE
MO,196,no,234,109,2,FALSE
VT,113,no,272.1,111,1,TRUE
IN,122,no,296.4,99,4,TRUE
RI,112,no,194.4,101,0,FALSE
SD,209,no,227.2,128,3,FALSE
MN,62,no,248.7,109,1,TRUE
TX,110,no,236.3,102,1,FALSE
VA,16,no,205.6,69,0,FALSE
MA,73,no,94.1,136,0,FALSE
ID,128,no,125.2,99,0,FALSE
MA,39,no,60.4,158,1,FALSE
GA,103,no,121,105,2,FALSE
RI,119,no,117.8,66,3,FALSE
ID,173,no,232.4,96,3,FALSE
SD,128,yes,223.5,81,2,TRUE
MA,86,no,176.3,79,0,FALSE
WY,114,no,125.2,79,1,FALSE
VA,104,no,138.7,107,0,FALSE
OR,148,no,86.3,134,1,FALSE
VA,129,no,207,91,3,FALSE
ME,100,no,58.8,104,0,FALSE
AL,121,no,68.7,95,1,FALSE
GA,143,no,239.2,109,1,FALSE
IA,76,no,198.3,130,0,FALSE
AZ,158,no,205.2,97,0,FALSE
FL,116,no,192.1,98,3,FALSE
MT,54,no,272.6,83,1,TRUE
AL,86,no,128.3,121,7,TRUE
DE,108,no,169.6,99,0,FALSE
MT,66,no,201.3,95,1,FALSE
KY,151,no,214.7,97,1,FALSE
SC,99,no,169.2,70,0,FALSE
WA,55,no,194.1,121,2,FALSE
OR,77,no,233.8,104,2,FALSE
AK,78,no,225.1,67,0,FALSE
GA,89,no,213,63,1,TRUE
MN,101,no,183.9,115,1,FALSE
IL,44,no,221.8,105,0,FALSE
IN,98,no,64.6,98,2,FALSE
SC,64,no,154.6,92,1,FALSE
VA,141,no,260.2,131,3,FALSE
WI,81,no,161.6,117,1,FALSE
VT,162,no,220.6,117,1,FALSE
AZ,83,no,155.9,122,3,FALSE
FL,100,no,107,63,4,TRUE
AK,59,no,182.5,104,4,FALSE
AR,179,yes,220.1,78,4,FALSE
AR,79,no,152.2,112,1,FALSE
AK,117,no,181.5,95,2,FALSE
MS,64,yes,236.2,77,2,TRUE
ME,31,no,166.1,105,1,FALSE
CA,124,yes,244.6,89,1,FALSE
NM,122,no,134.2,85,2,FALSE
NE,37,yes,149.7,122,1,FALSE
SC,90,no,150.1,109,1,FALSE
CO,159,yes,257.1,53,1,TRUE
DE,148,no,124.4,83,0,FALSE
OH,39,no,141.7,121,1,FALSE
MS,77,no,230,87,2,FALSE
OK,194,no,162.3,88,0,FALSE
CO,154,no,350.8,75,1,TRUE
NC,112,no,193.3,96,4,FALSE
MD,45,no,78.2,127,1,FALSE
KS,132,no,83.4,110,1,FALSE
MA,128,no,195.6,99,0,FALSE
NC,135,no,201.8,81,1,FALSE
NM,56,no,197,110,2,FALSE
CA,151,yes,218,57,0,TRUE
NY,32,no,164.8,98,2,FALSE
AZ,90,no,179.2,77,2,FALSE
SD,87,no,214,113,0,FALSE
DC,138,no,170.5,87,2,FALSE
ND,79,no,205.7,123,1,FALSE
MO,95,yes,165.5,84,1,TRUE
KS,127,no,221,100,2,FALSE
SD,137,no,242.1,118,3,FALSE
OK,97,no,151.6,107,1,FALSE
OR,149,yes,176.2,87,0,FALSE
IN,117,yes,196,82,1,FALSE
OH,84,no,159.5,125,2,FALSE
KS,137,no,230.2,113,4,FALSE
CT,99,no,146.7,64,3,FALSE
NH,54,no,210.5,102,1,FALSE
WI,85,no,102,95,1,FALSE
MS,150,no,126,99,3,FALSE
WV,43,no,168.4,125,1,FALSE
MA,35,no,105.6,129,0,FALSE
MD,98,no,206.5,92,5,FALSE
PA,112,no,217.1,76,2,FALSE
WI,16,no,229.6,78,0,TRUE
TN,98,no,278.3,89,0,FALSE
TX,84,no,138.6,102,0,FALSE
OR,94,no,234.4,103,1,TRUE
IL,84,no,181.5,129,1,FALSE
DC,66,no,167.3,91,1,TRUE
GA,98,no,121,105,1,FALSE
ID,74,no,221.1,124,0,FALSE
UT,96,no,145.8,108,1,FALSE
KY,119,no,222.8,122,1,FALSE
OH,73,no,183.4,80,4,FALSE
WI,92,yes,264.3,91,0,FALSE
IL,21,no,146,78,0,FALSE
DE,122,no,157.1,134,4,TRUE
RI,133,yes,127.3,108,1,FALSE
TX,145,no,187.9,110,2,FALSE
OR,25,no,178.8,90,2,FALSE
NV,64,no,97.2,80,2,FALSE
NE,85,no,259.8,85,0,FALSE
MS,126,no,256.5,112,3,FALSE
OR,76,no,169.5,77,0,FALSE
DE,113,no,239.7,47,2,TRUE
DE,224,yes,171.5,99,1,TRUE
AZ,117,no,239.9,84,0,FALSE
SD,128,no,142.3,73,1,FALSE
NV,115,no,184.1,98,2,FALSE
NM,141,no,206.9,126,2,FALSE
MN,51,no,259.9,114,1,FALSE
NJ,100,no,203.8,122,0,FALSE
IN,96,no,248.8,124,3,FALSE
DC,112,no,221.6,110,1,FALSE
MA,129,yes,192.9,131,1,FALSE
ME,163,no,122.4,129,1,FALSE
NH,67,no,104.9,65,1,FALSE
AZ,140,no,173.2,91,3,FALSE
OR,49,no,119.4,69,2,FALSE
KS,46,no,250.3,100,2,TRUE
NE,148,no,178.3,98,1,FALSE
MI,112,no,243.4,77,1,FALSE
SC,78,no,155,106,2,FALSE
PA,61,no,288.7,101,0,FALSE
MT,58,no,240.4,80,1,FALSE
NM,155,no,190.3,123,1,FALSE
OH,100,no,278,76,0,TRUE
WY,113,no,155,93,1,FALSE
MI,81,no,153.5,99,2,FALSE
AR,135,no,273.4,141,1,FALSE
FL,99,no,155.3,93,0,FALSE
AR,59,no,133.1,114,1,FALSE
MO,135,no,246.8,129,1,FALSE
WI,85,yes,165.4,107,2,FALSE
TX,70,no,59.5,103,0,FALSE
TX,88,no,138.3,116,3,FALSE
NM,55,no,286.7,100,2,FALSE
GA,75,no,117.3,114,1,FALSE
ID,79,no,264.3,79,4,FALSE
AL,85,no,127.9,107,0,FALSE
KS,86,no,225.5,107,0,FALSE
SD,91,no,149,115,0,FALSE
LA,149,no,198.9,77,1,FALSE
OH,97,no,256.4,125,1,TRUE
MA,88,no,264.8,124,1,TRUE
AZ,60,no,98.2,88,2,FALSE
KY,54,no,159.8,99,2,FALSE
DC,11,no,190.6,86,3,FALSE
WA,109,no,184,120,0,FALSE
UT,90,no,261.8,128,1,FALSE
RI,115,no,147.9,109,3,FALSE
OH,144,no,106.4,109,1,FALSE
NV,91,no,133.7,75,0,FALSE
ND,105,no,193.5,85,0,FALSE
NV,71,yes,178.2,113,3,TRUE
FL,132,no,226.2,103,3,TRUE
MD,112,no,170.4,103,1,FALSE
AZ,86,no,70.9,163,3,FALSE
AL,41,no,194.4,63,2,FALSE
NE,44,no,240.3,146,1,FALSE
NV,78,no,75,116,3,FALSE
IL,149,no,69.1,117,1,FALSE
WV,72,no,96.6,59,4,TRUE
MI,139,no,214.6,101,0,FALSE
AR,74,no,148.5,111,3,FALSE
UT,50,no,258.1,106,1,FALSE
GA,141,no,149.7,112,3,FALSE
AZ,140,no,149.8,134,1,FALSE
ID,99,no,190.4,102,2,FALSE
HI,166,no,181.4,108,1,FALSE
NV,124,no,151.1,123,1,FALSE
MD,74,no,155.7,116,0,FALSE
GA,117,no,149.9,95,2,FALSE
GA,85,no,222.3,132,3,FALSE
UT,36,no,149.4,111,0,FALSE
MA,102,yes,233.8,103,0,FALSE
IN,76,no,204.2,100,0,FALSE
VT,165,no,242.9,126,1,FALSE
IA,130,no,150.4,119,1,FALSE
IN,78,no,208.9,119,0,FALSE
AL,55,yes,191.9,91,1,TRUE
ME,92,yes,130.7,113,2,TRUE
RI,129,no,119.6,104,2,FALSE
MD,18,no,273.6,93,1,FALSE
FL,161,yes,156.1,114,2,FALSE
CA,93,no,178.7,134,2,FALSE
AL,144,no,177.5,93,2,FALSE
ME,75,yes,211.3,61,4,TRUE
WV,95,no,175.2,91,1,FALSE
SD,126,no,114.3,102,3,FALSE
FL,124,no,251.4,104,1,FALSE
MI,93,yes,216.9,61,1,TRUE
MI,109,yes,217.2,138,0,FALSE
NM,80,no,206.3,97,0,FALSE
AK,41,no,159.3,66,1,FALSE
OH,136,no,143.1,88,2,FALSE
MO,92,no,154,122,3,TRUE
KS,143,no,186.6,69,1,FALSE
MS,118,no,170.8,114,5,TRUE
VT,193,no,124,102,1,FALSE
NE,73,no,198.3,94,3,FALSE
VA,62,no,172.8,101,2,FALSE
DE,30,no,217.4,74,0,FALSE
AL,60,yes,265.9,113,0,TRUE
ID,148,no,93.6,137,1,FALSE
MS,96,no,98.2,100,2,FALSE
OK,52,no,214.7,68,2,FALSE
NM,87,no,168.2,92,1,FALSE
WI,41,no,202.9,97,3,FALSE
WV,112,no,261.4,108,1,FALSE
SC,88,no,73.3,86,4,TRUE
KY,122,no,253.7,84,7,FALSE
MO,61,no,45,108,2,FALSE
IL,87,no,231.3,105,1,FALSE
OK,176,no,47.4,125,2,FALSE
MI,30,no,227.4,88,0,FALSE
NJ,95,no,40.9,126,0,FALSE
ID,46,no,124.8,133,2,FALSE
DC,100,yes,68.5,110,0,FALSE
NY,47,no,163.5,77,2,FALSE
AL,77,no,163,112,2,FALSE
OR,98,no,213.7,61,2,FALSE
OK,125,no,201.3,117,1,FALSE
LA,67,no,310.4,97,4,FALSE
NE,194,no,48.4,101,1,FALSE
TX,128,no,171.2,88,1,FALSE
UT,190,no,166.5,93,0,FALSE
OR,165,no,216.6,126,0,FALSE
NY,59,no,107.8,113,2,FALSE
AL,47,no,141.3,94,1,FALSE
RI,150,no,209.9,77,0,FALSE
MN,152,yes,237.5,120,9,TRUE
NC,26,no,234.5,109,3,FALSE
MD,79,no,103.1,90,3,FALSE
RI,95,no,129.5,106,1,FALSE
WI,69,yes,279.8,90,2,TRUE
VT,95,yes,136.8,91,5,TRUE
CT,31,no,100.1,54,0,FALSE
OK,121,no,237.1,63,4,FALSE
AK,111,no,172.8,58,4,TRUE
NY,157,no,224.5,111,2,FALSE
GA,44,no,288.1,112,3,TRUE
UT,61,yes,78.2,103,2,FALSE
NM,65,no,148.7,80,2,FALSE
NE,74,no,194.6,84,2,FALSE
NJ,123,no,159.5,77,0,FALSE
TX,58,no,194.5,110,1,FALSE
MT,74,no,174.1,96,2,TRUE
CO,125,no,131.8,97,2,FALSE
VT,80,no,160.6,103,1,FALSE
RI,53,no,146.8,107,0,FALSE
WY,99,no,200.7,88,1,FALSE
ID,99,no,145.6,106,1,FALSE
CT,66,no,229.4,104,2,FALSE
ME,97,no,211,76,3,FALSE
AZ,75,no,121.5,97,2,FALSE
MD,85,yes,216,73,2,FALSE
IN,108,no,293,88,2,FALSE
NC,133,yes,221.1,137,2,TRUE
DE,51,no,181.5,108,1,FALSE
MN,186,no,74.3,107,2,FALSE
WI,44,yes,62.3,92,1,FALSE
FL,64,no,228.6,88,3,FALSE
WV,44,no,228.1,121,2,TRUE
SD,114,no,309.9,90,1,FALSE
FL,92,no,201.9,74,3,FALSE
OR,110,no,149.8,112,2,FALSE
CO,90,no,183.8,76,1,FALSE
CT,72,no,186.7,108,1,FALSE
IN,113,no,209.4,151,1,TRUE
PA,171,no,223.2,77,3,FALSE
NM,104,no,164.2,109,1,FALSE
ME,165,no,150.5,75,1,FALSE
SD,104,no,234.2,128,0,TRUE
AR,110,no,55.3,102,1,FALSE
TX,90,yes,221.8,97,1,FALSE
NH,114,no,169.6,85,1,FALSE
OK,101,no,89.7,118,5,TRUE
WI,117,no,80.2,81,1,FALSE
AL,109,no,218.9,105,2,FALSE
PA,82,no,125.7,96,1,FALSE
OK,92,no,176.3,85,2,FALSE
ME,82,no,207.2,111,2,FALSE
WV,90,no,205.7,138,2,FALSE
HI,87,no,151.4,95,1,FALSE
MN,124,no,157.5,70,3,FALSE
NY,39,no,160.4,68,2,FALSE
AZ,84,no,159,80,1,FALSE
OH,75,no,214.1,62,0,FALSE
MI,102,no,102.6,89,2,FALSE
MA,62,yes,159.7,86,0,TRUE
WV,143,no,202.8,109,1,FALSE
MI,53,no,57.5,95,3,FALSE
NM,30,no,169.9,144,1,FALSE
MO,112,no,335.5,77,2,TRUE
RI,129,no,139.5,119,0,FALSE
NC,63,no,142.3,107,1,FALSE
WY,28,no,187.8,94,0,FALSE
WY,111,no,146.2,55,3,FALSE
PA,91,no,231.8,120,3,FALSE
KY,90,no,193.7,83,1,FALSE
OR,151,no,156.4,108,4,FALSE
NV,105,yes,220.7,82,1,TRUE
DC,41,no,239.8,110,2,FALSE
UT,48,no,172,111,1,FALSE
WA,166,yes,128.2,138,2,FALSE
FL,79,no,130.2,119,3,FALSE
VA,153,no,195.4,107,1,FALSE
KS,110,yes,293.3,79,0,TRUE
KS,163,no,191.3,89,1,FALSE
DC,126,no,122.4,88,1,FALSE
ME,105,no,209.6,68,2,FALSE
LA,172,no,215.7,140,3,FALSE
DC,126,no,161.4,110,0,FALSE
TX,97,no,144.2,91,3,FALSE
NJ,95,yes,220.2,109,0,TRUE
DE,87,no,256.2,105,4,FALSE
VT,97,no,112.7,119,1,FALSE
GA,76,no,299.5,125,0,TRUE
TX,140,no,194.8,107,0,FALSE
MT,169,no,100.8,112,0,FALSE
ND,68,no,82.5,97,3,FALSE
NJ,122,no,146.4,104,2,FALSE
MO,36,no,177.9,129,2,FALSE
CO,120,no,153.5,84,5,FALSE
KS,121,no,150.7,105,1,FALSE
NC,64,no,180.1,106,0,FALSE
MT,13,no,265.3,94,1,FALSE
DE,106,no,128.6,83,0,FALSE
ND,88,no,161.5,92,2,FALSE
VA,74,no,165.3,120,1,FALSE
IL,83,no,195,92,0,FALSE
OK,49,no,213.8,79,0,FALSE
CO,111,no,205.5,114,1,FALSE
MT,50,no,252.9,112,3,FALSE
WV,153,no,235.6,74,0,FALSE
ME,88,no,192,91,1,FALSE
WI,131,no,69.1,122,0,FALSE
MO,79,no,261.7,97,3,TRUE
NY,140,no,235.5,81,2,FALSE
CT,105,no,213.4,100,1,FALSE
AR,54,no,206.9,143,3,FALSE
WY,87,no,263.8,65,3,FALSE
CA,96,no,183.4,126,1,FALSE
CA,79,no,157.6,85,5,TRUE
MN,55,no,175.6,147,0,FALSE
AK,130,no,242.5,101,2,FALSE
VA,34,no,151,102,0,FALSE
CO,139,no,138.1,103,1,FALSE
MT,109,no,264.7,69,1,TRUE
SD,65,no,282.3,70,1,FALSE
NE,63,no,211.2,80,0,FALSE
VT,152,no,197.1,126,3,FALSE
