state,account length,international plan,total day minutes,total day calls,customer service calls,churn
ND,147,no,205.3,95,1,FALSE
GA,112,no,181.8,110,2,FALSE
OR,120,no,252,120,2,FALSE
MT,27,no,193.8,102,0,FALSE
WY,171,no,231.2,135,1,FALSE
GA,101,no,200.1,108,0,FALSE
WV,32,no,266.7,109,1,FALSE
CT,3,no,118.1,117,2,FALSE
IL,151,no,175.3,106,0,FALSE
CO,60,no,125.1,99,3,FALSE
DE,119,no,176.8,90,1,FALSE
LA,43,no,241.9,101,1,FALSE
MA,42,no,241.2,134,0,FALSE
IN,84,no,217.1,99,1,FALSE
NY,65,no,195.4,110,0,FALSE
TX,75,yes,222.4,78,1,TRUE
KS,116,no,189.5,90,1,FALSE
WV,107,no,123.1,100,0,FALSE
NE,189,no,256.7,98,3,FALSE
ND,123,no,159.1,94,1,FALSE
AK,110,no,100.1,90,3,FALSE
CO,63,no,30.9,113,1,FALSE
ME,176,no,223.2,76,3,FALSE
SC,108,no,187.4,101,1,FALSE
MN,13,no,315.6,105,3,FALSE
CO,71,no,277.5,104,1,FALSE
KS,88,no,189.8,111,2,FALSE
MS,137,no,147.2,119,1,FALSE
NE,82,no,185.8,36,4,FALSE
NJ,92,no,155.4,110,3,FALSE
WI,165,no,154.2,91,6,FALSE
MT,96,no,97.6,98,1,FALSE
AR,156,no,178.8,94,1,FALSE
WA,63,no,149.3,104,0,FALSE
NH,37,no,206,89,0,FALSE
IA,98,no,216.8,86,0,FALSE
WV,121,no,103.3,110,0,FALSE
RI,94,no,139.4,95,0,FALSE
KS,99,no,191.2,110,1,FALSE
MT,163,no,160,104,1,FALSE
MO,161,no,221.7,95,3,FALSE
HI,99,no,62.9,81,1,FALSE
CO,108,no,215.6,78,1,FALSE
CT,84,no,165.3,97,3,FALSE
ID,83,yes,94.7,111,2,FALSE
DC,139,no,203.2,81,2,FALSE
TN,69,no,195.3,70,3,FALSE
WY,129,no,143.7,114,4,FALSE
MO,106,no,114.4,104,2,FALSE
VA,158,no,222.8,101,2,FALSE
SD,168,no,175.9,70,2,FALSE
WV,115,yes,249.9,95,1,TRUE
GA,57,yes,234.5,130,2,FALSE
AZ,67,no,210.7,116,1,FALSE
AK,127,no,182.3,124,1,FALSE
AK,78,no,190.3,88,2,FALSE
CT,100,no,177.1,88,0,FALSE
UT,103,no,87.2,92,6,TRUE
KY,113,no,215.6,96,1,FALSE
MI,78,no,137.4,109,3,FALSE
OR,129,no,192.8,103,1,FALSE
TN,57,no,149.3,100,2,FALSE
WV,82,no,143.7,116,1,FALSE
NJ,64,no,224.8,111,1,FALSE
MS,86,no,261.2,122,2,FALSE
ME,151,no,196.5,98,0,FALSE
WY,94,no,271.2,105,3,TRUE
WY,90,no,207.2,121,2,FALSE
IN,48,no,300.4,94,2,FALSE
NM,85,no,229.6,123,2,FALSE
NJ,93,yes,187.5,110,1,FALSE
DC,169,yes,57.1,98,3,FALSE
UT,68,no,162.1,86,5,TRUE
KY,91,yes,145,89,2,TRUE
KS,68,no,159.5,123,1,FALSE
MI,101,no,190.7,72,1,FALSE
UT,67,no,230.6,40,1,FALSE
NE,66,no,34,133,0,FALSE
FL,116,no,193.4,112,5,FALSE
LA,158,no,202,126,1,FALSE
MT,78,no,191.7,122,1,FALSE
WA,119,no,161.3,97,1,FALSE
MI,120,no,150.6,85,1,FALSE
KY,155,no,184.6,102,1,FALSE
LA,106,no,220.7,120,1,FALSE
NM,87,yes,167.3,119,1,FALSE
AL,146,no,154,80,3,FALSE
MO,101,no,121.1,116,0,FALSE
CO,22,no,182.1,94,3,FALSE
TX,90,no,109.6,88,2,FALSE
NY,41,no,209.9,105,1,FALSE
OR,69,no,167.5,76,2,FALSE
WY,33,no,213.9,88,2,FALSE
UT,112,no,115.8,108,1,FALSE
LA,108,no,276.6,99,2,FALSE
NV,136,no,179.4,88,2,FALSE
NC,128,no,187.3,84,1,FALSE
NC,27,no,201.2,128,2,FALSE
WY,161,yes,189.6,78,1,FALSE
TN,33,no,186.8,124,0,FALSE
FL,120,no,153.5,83,0,FALSE
CA,113,no,187.6,97,2,FALSE
PA,122,yes,230.9,132,0,TRUE
WV,148,no,244.9,150,2,FALSE
NJ,74,no,230.9,93,3,FALSE
MT,106,no,187.1,104,1,FALSE
MN,179,no,170.7,54,1,FALSE
WI,149,yes,126.9,97,5,TRUE
ID,77,no,189.5,112,0,FALSE
MA,127,yes,176.9,110,1,TRUE
OR,80,no,161.1,99,1,FALSE
MT,106,no,169.4,107,1,FALSE
AL,61,no,254.4,133,0,FALSE
ND,135,yes,127.7,54,2,FALSE
LA,115,no,170.5,107,6,FALSE
ND,167,yes,219.1,100,2,FALSE
MS,107,yes,273.5,104,2,FALSE
WV,112,yes,161.9,138,1,FALSE
WI,35,no,241.7,87,1,FALSE
KS,103,yes,62.8,124,3,FALSE
MO,107,no,281.1,83,1,FALSE
PA,69,no,228.2,70,3,FALSE
SD,85,no,209.8,82,0,FALSE
NJ,24,no,265.6,86,2,TRUE
AL,90,no,214.9,97,2,FALSE
ME,137,no,110.5,79,3,FALSE
AZ,92,yes,281.1,88,0,FALSE
VT,38,no,137.8,86,2,FALSE
NV,69,yes,271.5,98,1,TRUE
WI,45,no,112.8,108,2,FALSE
HI,73,no,187.3,118,1,FALSE
DE,92,no,197,84,1,FALSE
AZ,113,no,180.4,89,1,FALSE
VA,68,yes,148.5,126,1,TRUE
GA,135,no,197.1,113,2,FALSE
AZ,100,no,153.7,115,1,FALSE
MN,96,no,261.3,96,1,FALSE
ME,108,no,246.2,102,1,FALSE
FL,84,no,191,88,0,FALSE
WA,134,no,208.3,86,1,FALSE
MT,72,no,253,73,0,FALSE
AL,83,no,202.3,87,0,FALSE
WV,137,no,174.4,120,0,FALSE
GA,56,no,127.1,89,1,FALSE
OH,61,yes,143.5,76,0,FALSE
DE,171,no,186.9,94,1,FALSE
NE,123,no,194,118,1,FALSE
FL,58,no,234.8,89,0,FALSE
AK,156,no,123.7,96,1,FALSE
WI,166,no,173.9,103,0,FALSE
WA,75,no,130.9,115,1,FALSE
KY,75,no,314.6,102,2,TRUE
OH,83,no,227.9,78,1,FALSE
UT,243,no,95.5,92,2,FALSE
NM,153,no,185.3,127,1,FALSE
MN,150,no,146.3,133,1,FALSE
WV,92,no,184,99,2,FALSE
MN,80,no,105.8,110,0,FALSE
AL,134,no,178,110,1,FALSE
PA,77,no,149.4,74,1,FALSE
DE,147,no,209.4,104,2,FALSE
MO,74,no,172.1,105,1,FALSE
IL,138,yes,169.3,82,1,FALSE
FL,143,no,119.1,117,0,FALSE
HI,64,no,194.2,147,2,FALSE
ME,120,no,198.8,56,2,FALSE
CO,121,yes,167.7,94,3,TRUE
NH,88,no,202.2,86,2,FALSE
SC,87,no,322.5,106,2,TRUE
IN,100,no,216.2,107,0,FALSE
FL,104,no,76.4,116,3,FALSE
GA,27,no,72.7,75,1,FALSE
IL,81,no,210.4,100,0,FALSE
NC,64,yes,127.2,93,0,FALSE
VT,107,no,201.8,79,1,FALSE
DC,88,no,219.5,78,1,FALSE
VT,111,no,99.3,112,3,FALSE
NV,77,no,239.2,114,5,FALSE
OR,67,yes,120.9,58,2,FALSE
AL,102,no,224.7,81,1,FALSE
ND,146,no,176.6,88,1,FALSE
FL,144,no,283.9,98,1,FALSE
NE,96,no,180.6,92,1,TRUE
ND,70,no,125.9,101,1,FALSE
ME,149,no,237.6,79,0,FALSE
IL,129,no,198.4,91,2,FALSE
WA,166,no,274.3,110,0,FALSE
MA,136,yes,199.6,89,3,TRUE
KS,149,no,217.7,91,3,FALSE
RI,70,no,134.7,96,3,FALSE
MO,120,no,212.7,73,2,FALSE
IA,66,no,256.3,135,2,FALSE
WY,104,no,183.6,133,1,FALSE
NV,160,no,176.2,90,1,FALSE
WI,129,no,205,94,1,FALSE
AL,93,no,267.9,114,3,TRUE
HI,169,no,179.2,111,2,FALSE
MO,58,no,149.4,145,1,FALSE
CA,75,no,163.6,132,3,FALSE
MO,45,no,207.6,71,1,FALSE
CT,155,no,165.4,108,3,FALSE
MD,52,no,209.8,114,4,FALSE
OH,119,no,220.1,128,0,FALSE
NV,86,no,141.3,72,1,FALSE
MD,42,no,196.5,89,0,FALSE
NE,127,yes,180.9,114,2,FALSE
OH,123,no,105,150,0,FALSE
MA,98,no,271.4,119,4,TRUE
OK,149,no,206.7,79,1,FALSE
MA,160,no,166.8,109,1,FALSE
WA,103,no,204.9,107,5,FALSE
HI,132,no,154.6,128,1,FALSE
CO,137,no,127,107,1,FALSE
FL,129,yes,267.4,78,1,FALSE
WI,62,no,281,66,1,FALSE
ID,122,no,270.8,96,4,FALSE
WY,32,no,171.2,82,1,FALSE
GA,86,no,124.1,82,3,FALSE
FL,130,no,162.8,113,1,FALSE
WY,42,no,146.3,84,1,FALSE
DE,73,no,254.8,85,2,FALSE
ME,66,no,254.9,108,2,FALSE
DC,103,no,107.7,124,0,FALSE
IA,128,no,158.8,75,1,FALSE
CO,104,no,182.9,113,2,FALSE
MN,103,no,198.5,112,0,FALSE
VT,124,no,178.4,72,0,FALSE
AZ,87,no,110.9,91,1,FALSE
LA,109,no,166.9,85,1,TRUE
MO,167,yes,244.8,91,2,FALSE
ME,97,no,120.8,96,4,TRUE
MD,106,no,165.3,118,2,FALSE
VT,125,no,126.7,113,2,FALSE
DC,108,no,215.9,106,0,FALSE
WY,125,no,140.1,132,1,FALSE
VA,89,no,209.9,113,1,FALSE
VA,72,yes,139.8,114,0,FALSE
CT,23,no,321.6,107,2,TRUE
HI,149,no,166.6,61,7,FALSE
WI,73,no,214.2,90,0,FALSE
MD,61,no,260,123,1,TRUE
WV,161,no,191.9,113,4,TRUE
VT,73,no,213,95,0,FALSE
UT,118,no,118.1,83,1,FALSE
CO,23,no,190.2,89,6,FALSE
NC,127,no,82.2,95,0,FALSE
NJ,42,no,163.8,80,0,FALSE
AR,118,no,267.8,145,5,TRUE
IA,45,no,159.8,91,2,FALSE
GA,50,no,214.3,129,1,FALSE
MO,179,no,287.3,123,0,TRUE
MO,152,no,101.2,122,2,FALSE
WY,105,no,102.8,74,2,FALSE
HI,72,no,109.1,97,0,FALSE
PA,52,no,215.9,67,1,FALSE
TX,125,no,203.4,110,1,FALSE
VA,143,no,110.1,113,1,FALSE
RI,65,no,111,51,1,FALSE
WI,80,no,239.9,121,1,FALSE
MS,1,no,144.8,107,1,FALSE
KY,60,no,135.4,134,1,FALSE
NC,43,no,84.2,134,1,FALSE
NV,143,no,209.1,127,0,FALSE
UT,81,no,130.1,117,0,FALSE
ME,205,no,175.8,139,2,FALSE
HI,24,no,241.9,104,1,FALSE
OH,74,no,136.7,106,0,FALSE
WV,77,no,67.7,68,1,FALSE
OK,74,no,200.4,87,1,FALSE
KY,74,yes,125.8,103,1,TRUE
AL,200,no,128.2,87,1,FALSE
MD,86,no,226.3,88,4,FALSE
NE,91,no,162.3,107,0,FALSE
DC,76,no,224.4,121,2,FALSE
TX,130,no,120.5,127,1,FALSE
OH,56,no,91.1,90,2,FALSE
DE,117,no,168.8,137,0,FALSE
IA,63,no,153.5,81,2,FALSE
VT,126,no,226.2,88,0,FALSE
OR,132,no,191.9,107,1,FALSE
NV,81,no,167.9,147,4,TRUE
NC,122,no,180,88,2,FALSE
NJ,46,no,257.4,67,2,TRUE
MN,150,no,174.4,75,1,FALSE
ID,99,no,159.7,83,1,FALSE
AL,87,no,237.2,124,1,FALSE
AK,108,no,103,129,1,FALSE
VT,101,no,153.8,89,4,FALSE
PA,53,no,205.1,86,3,FALSE
AK,132,no,175.7,93,2,FALSE
CA,158,no,155.9,123,2,FALSE
MS,114,no,154.4,109,0,FALSE
AR,77,no,209.7,73,2,FALSE
NV,144,yes,150,69,0,FALSE
AL,91,no,232.4,97,3,FALSE
GA,58,no,165.4,100,2,FALSE
AR,5,no,199.2,106,3,FALSE
MA,97,no,217.6,81,0,FALSE
NJ,107,no,212.1,95,3,FALSE
MO,142,no,154,75,1,FALSE
NY,9,no,193.8,130,1,FALSE
AZ,73,no,175.4,130,0,FALSE
NJ,48,no,152,63,2,TRUE
WV,43,no,230.2,147,0,FALSE
NM,122,no,174.9,103,1,TRUE
SC,93,no,190.2,68,0,FALSE
VT,85,no,176.4,122,1,FALSE
TN,59,no,160.9,95,3,FALSE
LA,87,no,228.7,90,1,FALSE
OH,137,no,144,90,0,FALSE
OR,21,no,135.9,90,6,FALSE
DE,129,no,334.3,118,0,TRUE
KY,104,no,130.5,77,0,FALSE
GA,93,no,134.2,105,4,TRUE
VT,63,no,278,102,4,TRUE
OR,161,no,105.4,70,0,FALSE
TX,50,no,188.9,94,3,FALSE
MO,103,no,111.8,85,1,FALSE
ND,84,no,159.1,106,1,FALSE
MN,92,no,212.4,105,1,FALSE
NV,77,no,142.3,112,1,FALSE
NY,64,yes,346.8,55,1,TRUE
FL,159,no,113.9,102,1,FALSE
KS,110,yes,267.9,103,1,TRUE
NV,138,no,171.4,117,3,FALSE
NV,178,no,275.4,150,1,FALSE
SC,38,no,197.2,118,0,FALSE
MI,50,no,192.6,97,2,FALSE
MI,45,no,91.7,104,1,FALSE
TN,70,no,126.3,99,0,FALSE
NY,147,no,251.5,107,3,FALSE
NV,94,no,190.6,108,1,FALSE
IL,179,no,116.1,101,0,FALSE
MS,116,no,217.3,91,2,FALSE
ND,59,no,179.4,80,0,FALSE
NC,165,no,207.7,109,0,FALSE
MI,133,no,277.3,138,2,TRUE
TN,140,no,125.3,84,1,FALSE
VT,93,no,138.1,91,2,FALSE
OK,52,no,169.3,88,0,FALSE
DE,64,no,201.3,101,1,FALSE
ND,12,yes,216.7,117,2,FALSE
OR,48,no,190.4,92,2,FALSE
NY,181,no,143.3,91,1,FALSE
MO,168,no,97.4,57,2,FALSE
FL,155,no,181.4,111,3,FALSE
ND,105,no,246.4,83,0,FALSE
NY,11,no,143.4,130,2,FALSE
ND,182,no,104.9,111,2,FALSE
NY,104,no,156.2,93,1,FALSE
OH,102,no,114.8,125,0,FALSE
AL,122,no,232.5,96,0,FALSE
SC,41,no,143.6,117,1,FALSE
GA,132,no,176.7,132,2,FALSE
WY,76,no,263.4,148,1,TRUE
WV,13,no,146.4,74,1,FALSE
HI,115,no,145,72,2,FALSE
WV,67,no,167.8,91,1,FALSE
LA,154,no,166.9,99,0,FALSE
AR,100,no,142.5,87,2,FALSE
AK,146,yes,133,65,1,FALSE
DC,148,no,252.9,129,1,FALSE
AL,67,no,95,94,2,FALSE
UT,161,yes,194.2,106,1,TRUE
KS,70,no,222.8,114,1,FALSE
MN,116,no,201.8,82,0,FALSE
VA,99,no,216,125,2,TRUE
UT,87,no,146.3,108,1,FALSE
IN,87,no,234.8,85,1,FALSE
CT,70,no,198.6,111,2,FALSE
DE,131,no,94.4,80,2,FALSE
VT,119,no,190.4,74,2,FALSE
MO,119,no,142.6,77,3,FALSE
RI,87,yes,134.2,80,0,FALSE
CA,112,no,111.9,92,5,TRUE
RI,75,no,122.8,89,2,FALSE
CT,150,no,189.3,77,4,FALSE
IN,161,no,240.4,112,0,FALSE
FL,91,yes,93.5,112,0,FALSE
KS,124,no,158.6,104,3,FALSE
NY,94,yes,243.2,109,4,FALSE
TX,217,no,176.4,115,4,FALSE
RI,158,no,220.9,129,0,FALSE
NV,102,no,144.4,87,0,FALSE
UT,85,no,212.3,107,0,FALSE
OK,79,no,147,72,1,FALSE
MN,139,no,96.2,112,2,FALSE
NC,103,no,263.4,118,0,FALSE
OR,98,yes,12.5,67,1,FALSE
NH,78,no,162.3,116,2,FALSE
AK,50,no,183.6,107,1,FALSE
OR,161,no,178.1,109,1,FALSE
KS,67,no,201.4,101,0,FALSE
WV,86,no,123,158,1,FALSE
GA,92,no,208,125,0,FALSE
NM,174,no,239.2,72,1,FALSE
OH,124,no,193,97,1,FALSE
ND,132,no,174.5,101,1,FALSE
RI,190,no,116.7,71,1,FALSE
HI,101,no,93.8,127,1,FALSE
WY,185,yes,154.1,114,2,FALSE
NY,68,no,239.5,82,0,FALSE
KS,117,no,216,140,0,FALSE
LA,118,no,187.4,97,1,FALSE
PA,124,no,167.4,119,0,FALSE
NV,22,no,160.4,108,1,FALSE
MN,75,no,143.2,92,1,FALSE
PA,134,no,205.3,122,1,FALSE
MO,164,no,219.1,88,1,FALSE
NY,44,no,143.2,77,1,FALSE
ME,177,no,232.8,106,2,FALSE
NH,110,no,162,81,0,FALSE
WY,53,no,25.9,119,1,FALSE
NY,108,no,154.2,123,4,TRUE
ME,80,no,322.3,113,0,TRUE
MN,158,no,209.9,112,1,FALSE
OH,114,no,191.5,88,0,FALSE
NC,64,no,291.1,150,1,FALSE
SD,88,no,215.6,115,3,FALSE
UT,82,yes,208.8,101,3,FALSE
KY,111,no,255.9,97,3,FALSE
MT,60,no,252.7,97,2,FALSE
NJ,113,no,132.1,72,3,FALSE
FL,109,no,217,115,1,FALSE
IN,105,no,101.9,79,0,FALSE
DE,85,no,211.5,100,2,FALSE
AL,131,no,153.4,86,0,FALSE
ME,59,no,166.3,95,2,FALSE
SD,148,no,185.2,87,1,FALSE
VA,210,no,104.6,121,2,FALSE
AK,115,no,245.2,105,0,FALSE
ID,106,no,274.4,120,1,FALSE
RI,93,no,98.4,78,1,FALSE
KY,57,no,279.9,121,1,FALSE
ND,98,no,187.2,127,1,FALSE
HI,157,no,276.2,95,3,FALSE
WI,116,no,200.4,104,1,FALSE
WV,30,no,162.3,96,2,FALSE
NJ,111,no,176.9,128,4,TRUE
KS,52,no,165.5,78,0,FALSE
AL,72,no,217.8,93,4,FALSE
NJ,135,no,201.4,100,2,TRUE
NC,86,no,190.5,115,3,FALSE
DE,98,no,179.9,97,3,FALSE
WY,151,no,235.9,104,3,FALSE
ID,118,no,140.4,112,0,FALSE
NY,117,no,144.6,115,2,FALSE
MO,55,no,189,100,0,FALSE
ID,82,no,101,93,0,FALSE
IA,152,no,206.3,98,1,FALSE
TN,108,no,165.1,85,1,FALSE
OH,98,no,165,129,1,TRUE
IL,130,no,155.9,95,3,FALSE
FL,136,yes,199.2,122,1,FALSE
MA,47,no,155.3,116,3,FALSE
OK,189,no,208.3,106,3,FALSE
KY,107,no,157.1,79,1,FALSE
MI,91,no,154.4,165,5,TRUE
NE,159,no,189.1,105,1,TRUE
VA,11,no,131.5,98,2,FALSE
NY,167,no,166.4,85,1,FALSE
MT,111,no,142.3,75,2,FALSE
VT,99,no,87.7,103,2,FALSE
KS,159,no,184.1,78,0,FALSE
VA,114,yes,174.5,104,2,FALSE
AL,71,no,103.3,103,2,FALSE
PA,122,no,35.1,62,1,FALSE
AL,100,no,246.6,94,1,FALSE
WV,83,no,78.5,109,1,FALSE
NV,64,no,148.1,73,5,TRUE
TN,105,no,206.2,84,1,FALSE
ID,144,no,251.6,87,2,FALSE
WY,106,yes,270.3,111,1,TRUE
TX,19,no,156.6,97,1,FALSE
MA,46,no,139.4,81,1,FALSE
IL,127,no,220.2,108,2,FALSE
LA,9,no,214.1,108,1,FALSE
CO,157,no,196,74,1,FALSE
UT,105,no,106.4,71,6,TRUE
MI,105,no,179.4,113,0,FALSE
NH,155,no,216.7,30,2,FALSE
ID,31,no,177.3,129,0,FALSE
WA,161,no,151.6,117,1,FALSE
MN,95,no,262.2,123,0,FALSE
NY,122,no,173.6,110,3,FALSE
MD,37,yes,106.6,76,2,FALSE
GA,132,no,193.3,106,5,TRUE
HI,119,no,217.2,94,0,FALSE
AL,16,no,209.5,89,1,FALSE
CT,99,no,95.4,105,1,FALSE
CO,76,no,214.6,110,1,FALSE
KS,167,no,131.6,120,4,TRUE
NJ,129,no,168.4,117,1,FALSE
FL,116,no,146.4,123,1,FALSE
CA,60,yes,183,110,1,FALSE
KS,128,no,103.3,122,0,FALSE
TX,47,no,112.2,70,0,FALSE
MN,40,yes,170.7,55,3,FALSE
AK,173,no,172.5,78,0,FALSE
OR,157,no,194.3,107,1,FALSE
MS,66,no,187.8,117,2,FALSE
VT,50,yes,307.1,94,0,FALSE
UT,72,no,118.2,106,3,FALSE
KS,130,no,154,95,1,FALSE
NV,143,no,155.5,101,1,FALSE
DE,89,yes,125.6,108,1,FALSE
IN,108,no,199.3,104,0,FALSE
TX,32,no,157.9,88,1,FALSE
MA,166,no,203.4,81,2,FALSE
VT,109,no,222.2,113,1,FALSE
CA,72,no,92.8,98,1,FALSE
IA,134,no,216.8,78,0,FALSE
NH,13,no,193.2,89,4,FALSE
GA,90,no,113.2,108,3,FALSE
WI,111,no,166.2,54,3,FALSE
CO,101,no,262.2,101,1,FALSE
SC,72,no,207.8,92,0,FALSE
MI,67,no,245.4,89,1,FALSE
MD,172,no,287.1,108,3,TRUE
IN,154,no,192.3,82,2,FALSE
ME,69,no,194.2,122,2,FALSE
DC,123,no,211,92,3,FALSE
TN,130,no,141.9,92,0,FALSE
FL,142,no,220.5,94,2,FALSE
WA,29,no,157.4,122,1,FALSE
HI,87,no,143.5,106,0,FALSE
NE,149,no,156,56,0,FALSE
TN,146,yes,160.1,63,2,FALSE
MD,88,yes,235.1,98,4,TRUE
NM,119,yes,160,95,5,TRUE
VT,48,no,188.4,63,1,FALSE
OR,135,no,194.8,97,1,FALSE
IN,100,no,247.8,117,1,FALSE
MO,98,no,221.2,80,4,FALSE
FL,75,no,118.5,86,2,FALSE
DC,180,no,231.8,78,1,FALSE
VT,100,no,215.9,90,1,FALSE
OH,119,no,217.1,92,2,FALSE
MO,86,no,83.5,96,0,FALSE
LA,155,no,183.3,106,1,FALSE
IL,78,yes,236.8,141,1,TRUE
NJ,153,no,193.8,90,1,FALSE
IA,92,no,134,112,0,FALSE
WA,13,no,176.6,65,2,FALSE
NE,154,no,191.4,93,3,FALSE
CT,144,yes,174.8,127,0,FALSE
WV,48,no,275.2,67,1,FALSE
ND,94,no,174,85,1,FALSE
UT,139,no,165,132,1,FALSE
MS,126,no,228.7,102,1,FALSE
MN,122,no,107.9,88,2,FALSE
NH,139,no,221.3,140,1,FALSE
LA,95,no,141.1,84,3,FALSE
ME,80,no,166.4,92,4,FALSE
KS,131,no,249.6,87,3,FALSE
KS,36,no,178.6,83,1,FALSE
NV,180,no,139,96,2,FALSE
MT,25,no,134.3,98,2,FALSE
MT,113,no,215.9,93,3,FALSE
ID,88,no,181.6,91,1,FALSE
AK,120,no,178.4,97,1,FALSE
UT,74,no,106.4,84,1,FALSE
AR,109,no,170.7,101,2,FALSE
LA,162,no,184.5,139,0,FALSE
KS,124,no,161.2,109,1,FALSE
OR,177,no,84.9,77,2,FALSE
WI,91,no,217.9,71,1,FALSE
CO,105,no,270.9,98,0,TRUE
KS,24,no,243,91,0,TRUE
IL,48,no,128.2,71,0,FALSE
IA,86,no,126.3,115,2,FALSE
AZ,163,no,178.7,56,4,FALSE
NE,91,no,159,109,0,FALSE
ID,56,no,150.9,79,3,FALSE
OH,147,yes,219.9,118,3,FALSE
TX,64,no,168,116,2,FALSE
TN,108,no,162.1,83,4,TRUE
OK,159,no,198.8,107,5,FALSE
ND,136,yes,256.8,90,3,FALSE
MT,116,no,182.8,122,1,FALSE
NC,45,no,196.8,92,1,FALSE
MN,122,no,140.1,120,2,FALSE
MN,138,no,194.3,83,5,FALSE
MA,132,no,117.6,66,1,FALSE
PA,101,yes,193.7,108,0,FALSE
GA,58,no,243.1,105,2,FALSE
NV,81,no,145.4,132,1,FALSE
TX,87,no,169.1,105,3,FALSE
ME,116,no,229.3,93,2,FALSE
RI,85,yes,197.2,97,4,FALSE
MN,62,no,186.4,84,2,TRUE
NH,90,no,76.1,121,0,FALSE
TN,98,no,162.8,65,2,FALSE
UT,73,no,182.3,115,1,FALSE
RI,107,yes,194.4,83,2,FALSE
NH,55,no,189.3,95,2,FALSE
AK,76,no,160.1,107,3,FALSE
NC,30,no,145,76,3,FALSE
AZ,157,no,220.7,105,4,FALSE
MA,40,no,224.7,69,1,TRUE
TN,72,no,147,79,1,FALSE
WY,95,no,260.8,130,1,FALSE
IA,42,no,155.4,127,0,FALSE
IN,86,no,166.2,112,1,FALSE
NJ,131,no,211.8,115,0,FALSE
FL,55,no,130.5,114,4,TRUE
MT,74,no,162.7,102,0,FALSE
ND,81,yes,237.1,76,1,FALSE
MI,81,no,166.2,102,4,FALSE
MT,28,no,121.7,48,6,TRUE
AL,111,no,176.4,62,0,FALSE
NV,3,no,67.4,116,2,FALSE
MI,51,no,229.7,129,1,TRUE
FL,68,no,176,118,1,FALSE
NY,163,no,247.7,77,0,TRUE
KS,87,no,115.4,90,2,FALSE
NC,58,no,112.2,95,0,TRUE
MN,109,no,162.6,138,0,FALSE
RI,111,no,229.4,107,4,FALSE
UT,144,no,139.6,96,2,FALSE
OR,135,no,263.8,66,5,TRUE
SC,109,no,217.5,123,4,FALSE
IL,107,no,114.3,132,1,FALSE
OH,149,no,196.3,108,2,FALSE
MA,56,no,253.2,95,1,FALSE
OR,129,no,98,99,0,FALSE
CA,92,no,249.4,118,0,FALSE
WV,67,no,129.6,107,1,FALSE
VT,120,no,221.3,106,0,FALSE
ID,166,no,220.7,106,1,FALSE
OR,66,no,87.6,76,1,FALSE
GA,76,no,203.6,61,0,FALSE
ME,79,no,213.6,110,2,FALSE
HI,98,no,181.6,112,2,FALSE
AZ,141,no,215.4,123,1,FALSE
UT,49,no,266.3,90,2,TRUE
IA,46,no,199.2,111,3,FALSE
CT,137,no,115,130,3,FALSE
WA,171,no,270.5,69,1,TRUE
VA,10,no,222.2,127,1,FALSE
CO,88,no,61.9,78,3,FALSE
LA,89,no,141.1,92,2,FALSE
TX,82,no,189.2,81,3,TRUE
SD,139,no,196,135,3,FALSE
VA,87,no,171.6,119,0,FALSE
NY,137,yes,174,123,2,FALSE
WA,45,no,78.6,106,1,TRUE
WI,90,no,200.9,92,1,FALSE
TN,103,no,141.3,123,1,FALSE
CT,100,no,235.8,130,2,FALSE
WA,110,no,185.1,100,3,FALSE
NH,124,no,254.3,113,2,FALSE
MT,10,no,183,103,2,FALSE
NE,89,no,163.5,80,2,FALSE
WA,121,no,207.9,98,2,FALSE
WI,101,no,248.6,102,3,FALSE
AR,103,no,185.4,105,2,FALSE
WI,51,no,197.8,60,1,FALSE
DE,2,yes,132.1,42,2,TRUE
NH,111,no,197.1,117,0,FALSE
VA,118,no,154.6,112,2,FALSE
TN,17,no,153.1,115,6,TRUE
VA,130,no,211.2,119,2,FALSE
ID,193,no,96.8,92,2,TRUE
TN,114,no,172,145,1,FALSE
AZ,137,no,141.1,91,2,FALSE
