state,account length,international plan,total day minutes,total day calls,customer service calls,churn
MT,185,no,151.1,121,2,FALSE
OK,101,no,209.6,107,3,FALSE
ID,95,no,247,109,3,FALSE
NV,7,no,221.4,114,1,FALSE
KS,126,no,321.3,99,1,TRUE
WY,71,no,243.7,124,0,FALSE
MS,124,no,251.5,85,3,FALSE
WY,97,yes,236.9,107,0,TRUE
TX,28,no,159.7,79,2,FALSE
WA,90,yes,148.2,96,4,TRUE
HI,190,no,150.9,86,1,FALSE
IL,31,no,210.5,101,1,FALSE
AK,52,no,170.9,71,2,FALSE
MD,73,no,254.7,80,0,FALSE
MA,111,no,284.4,89,0,TRUE
SD,98,no,0,0,4,TRUE
PA,106,yes,133.7,45,1,TRUE
NC,111,no,224.9,117,0,FALSE
VT,59,no,151.8,98,1,FALSE
KY,71,no,141.4,107,2,FALSE
WA,55,no,285.7,124,0,TRUE
LA,13,no,58.4,121,1,FALSE
WA,136,no,90.4,105,0,FALSE
ME,123,no,114.4,91,0,FALSE
WI,105,no,147.7,103,2,FALSE
TX,50,no,302.7,93,3,FALSE
IA,118,no,136.1,120,1,FALSE
AZ,97,no,169.7,84,3,FALSE
ND,51,no,227.2,89,0,FALSE
VT,73,no,217.8,91,1,TRUE
HI,35,no,124.2,102,2,FALSE
WY,64,no,206.2,76,1,FALSE
WV,63,no,132.9,122,3,FALSE
OK,117,no,104.9,115,3,FALSE
CT,115,no,245,97,1,TRUE
UT,162,no,184.5,118,1,FALSE
NY,89,no,89.5,66,3,FALSE
VA,94,yes,235.6,131,1,FALSE
VT,129,no,186,127,4,FALSE
SD,86,no,223.9,75,1,FALSE
PA,96,no,179.5,125,1,FALSE
ND,190,no,169.4,102,1,FALSE
CT,80,no,118.1,90,1,FALSE
SC,108,no,112,105,4,TRUE
MI,97,no,168.4,129,0,FALSE
VT,84,no,214.3,112,0,FALSE
OH,65,no,245.7,139,4,TRUE
VT,131,no,156.6,134,1,FALSE
IL,58,yes,142.8,96,1,FALSE
MO,36,no,202.4,115,3,FALSE
WI,54,no,116.8,119,1,FALSE
NJ,45,no,155.7,110,1,FALSE
GA,125,no,236.1,107,2,FALSE
VT,72,no,138.1,113,2,FALSE
CT,141,no,51.9,108,3,FALSE
AZ,113,no,81.3,116,0,FALSE
SD,20,no,171.5,98,0,FALSE
CT,212,no,126,96,1,FALSE
IN,99,yes,197.2,127,4,FALSE
OH,94,no,194.1,62,1,FALSE
NY,40,no,115.7,105,1,FALSE
NE,86,no,157.2,118,3,FALSE
OK,101,no,269.7,85,3,TRUE
NC,170,no,246.4,107,0,FALSE
HI,105,no,227.4,121,1,FALSE
UT,103,no,189.8,110,0,FALSE
MD,140,yes,188.9,124,4,FALSE
VT,101,no,0,0,1,FALSE
TX,98,no,110.5,87,1,FALSE
AZ,104,no,167.6,116,4,FALSE
VA,115,no,132,90,3,FALSE
WI,112,no,167.8,88,0,FALSE
NE,70,no,213.4,86,1,FALSE
KY,126,no,175.4,120,0,FALSE
NV,87,no,82.6,113,3,FALSE
MT,125,no,143.2,80,4,TRUE
MO,86,no,125.5,139,1,FALSE
MS,73,no,82.3,105,6,TRUE
NM,232,no,165.6,104,1,FALSE
NJ,1,no,183.1,95,0,FALSE
NH,133,no,162.1,91,1,FALSE
NC,103,no,166.6,84,1,FALSE
MT,131,no,135.9,60,1,FALSE
SD,95,no,165.7,78,0,FALSE
VA,182,no,176.1,90,1,FALSE
LA,99,no,142.3,89,0,FALSE
NV,27,no,177.6,121,3,FALSE
AK,141,no,83.2,74,1,FALSE
OH,29,yes,235,101,2,FALSE
NM,65,no,105.7,95,2,FALSE
MI,81,yes,149.4,68,3,TRUE
MN,37,no,264.7,81,0,FALSE
WY,107,no,160.3,45,1,FALSE
WY,127,yes,95.9,117,1,FALSE
WA,78,no,140.7,77,0,FALSE
NM,55,no,119.7,148,2,FALSE
VA,86,no,99.9,84,2,FALSE
RI,176,no,250.9,108,2,FALSE
AL,96,yes,200.6,117,2,FALSE
WV,11,no,209.8,130,1,FALSE
WV,48,no,198,70,1,FALSE
NJ,127,no,239.8,107,1,FALSE
TN,63,no,164.5,75,0,FALSE
MI,79,no,220.9,107,1,FALSE
UT,47,no,112.8,150,2,FALSE
IL,89,yes,112.6,114,0,TRUE
MI,83,no,226.4,117,1,FALSE
WI,126,yes,244.9,118,4,FALSE
ND,60,no,203.2,99,2,FALSE
VT,122,no,136.7,115,0,FALSE
WA,136,no,152.6,97,1,FALSE
NC,172,no,274.9,102,1,FALSE
ME,102,no,195.7,116,1,TRUE
SD,113,yes,204.3,82,1,FALSE
WV,79,no,222.3,99,3,FALSE
ID,55,no,222.5,104,1,FALSE
LA,111,no,128.8,104,2,FALSE
GA,160,no,174.3,105,0,FALSE
FL,110,no,242.5,110,4,FALSE
CO,192,no,221.6,101,4,FALSE
NV,93,no,114.3,100,0,FALSE
IN,101,no,219.7,137,2,FALSE
VA,77,no,144.9,136,2,FALSE
UT,105,no,236.5,111,2,FALSE
UT,133,no,174,80,2,TRUE
MO,131,no,109.5,95,1,FALSE
CT,106,no,81.6,120,1,FALSE
HI,118,no,133.4,113,1,FALSE
MD,125,no,137.1,94,1,FALSE
VA,95,no,197,88,0,FALSE
MT,80,no,198.1,160,3,FALSE
SC,145,no,39.5,78,0,FALSE
CO,37,no,199.5,107,2,FALSE
ID,87,no,156.8,93,1,FALSE
AL,69,no,183.4,85,3,FALSE
CO,83,no,132.4,120,1,FALSE
UT,195,no,63.2,108,0,FALSE
DE,67,yes,181.1,59,0,TRUE
OH,75,no,117.5,102,3,FALSE
RI,123,no,218.7,79,0,FALSE
FL,41,no,207.3,95,1,FALSE
OH,75,no,150.6,99,0,FALSE
MD,76,yes,273.3,66,1,TRUE
IL,86,yes,266.1,120,1,FALSE
PA,140,no,112.8,89,0,FALSE
AZ,70,no,104.7,112,3,FALSE
NH,121,no,193.8,62,0,FALSE
RI,112,no,168.6,102,1,FALSE
HI,118,no,253.2,122,2,FALSE
NJ,66,no,174.7,92,1,FALSE
WI,78,no,87,102,0,FALSE
MD,129,no,204.5,79,2,FALSE
OR,6,no,226.5,93,3,FALSE
NV,107,yes,234.1,91,1,FALSE
AR,107,yes,133.3,106,3,TRUE
MT,138,no,133.9,87,1,FALSE
CT,103,no,160.2,104,0,FALSE
UT,116,no,230.6,94,0,FALSE
GA,189,no,227.4,84,2,FALSE
NV,161,no,72.8,120,2,FALSE
TN,1,no,196.1,107,1,FALSE
DE,89,no,197.1,110,1,FALSE
NY,64,no,219.6,126,1,FALSE
MT,126,no,153.4,90,4,TRUE
IA,129,no,216,85,2,FALSE
VT,128,no,222.9,136,0,FALSE
LA,81,no,115.9,120,3,FALSE
MT,114,no,189.8,101,1,FALSE
NH,50,no,154.7,102,0,FALSE
WV,86,no,136.4,104,3,FALSE
ID,96,no,170.5,86,1,FALSE
AZ,72,no,272.4,88,0,FALSE
SC,64,no,210,116,8,FALSE
WV,57,yes,236.5,94,2,FALSE
OH,65,no,153.9,117,2,FALSE
MD,163,no,223,120,1,FALSE
MD,136,no,252.4,74,2,FALSE
MN,116,no,197.9,84,1,FALSE
NE,93,no,152.4,74,3,FALSE
MN,142,no,237.4,105,3,FALSE
NY,92,no,265.6,82,1,FALSE
HI,70,no,197.3,91,1,FALSE
MO,22,no,199.1,100,1,FALSE
NV,37,no,233.7,114,2,FALSE
MA,51,no,183.1,99,1,FALSE
NH,174,no,139.4,96,2,FALSE
UT,68,no,213.9,112,1,TRUE
FL,130,no,207.1,70,1,FALSE
WA,104,no,139.7,78,2,FALSE
CT,134,no,177.2,91,2,FALSE
KY,108,no,169.8,136,2,FALSE
NM,103,no,173.5,83,3,FALSE
ND,62,no,159.9,100,1,FALSE
NV,162,no,115.1,89,2,FALSE
CA,93,no,136.8,113,2,FALSE
ID,42,no,92.2,108,1,FALSE
OK,155,no,243.9,112,2,FALSE
IA,36,no,117.1,94,0,FALSE
OH,143,no,223.3,99,0,TRUE
NJ,197,no,154.8,111,3,FALSE
IA,81,no,261.4,141,1,TRUE
DE,138,yes,46.5,104,4,TRUE
CA,103,no,149.9,84,0,TRUE
WY,127,yes,242.2,102,2,TRUE
OR,136,no,259.4,99,1,TRUE
ME,99,no,222.4,102,2,FALSE
AR,95,no,69.4,79,0,FALSE
ME,118,yes,156.5,122,4,TRUE
WV,113,no,61.2,111,5,TRUE
PA,128,yes,245.2,112,0,FALSE
HI,117,no,102.3,100,3,FALSE
MT,48,no,230.9,92,3,FALSE
DC,81,yes,227.4,105,0,FALSE
AR,57,no,192.8,68,1,FALSE
MS,140,no,162.6,98,1,FALSE
OH,107,no,219.4,92,2,FALSE
MO,56,no,137.2,111,1,FALSE
TX,159,no,87.7,103,1,FALSE
MD,102,no,271.1,80,1,FALSE
CT,107,no,103.4,94,1,FALSE
SC,106,no,52.2,106,2,FALSE
MI,225,no,165.4,106,0,TRUE
SD,75,no,147.5,110,2,FALSE
CO,86,no,217.8,93,0,FALSE
ID,169,no,235.7,79,1,FALSE
AZ,122,no,204.5,92,2,FALSE
FL,106,no,178.4,143,0,FALSE
MN,52,no,130.1,68,2,FALSE
DE,79,no,103.7,100,2,FALSE
MI,135,no,239.9,91,2,FALSE
MS,70,no,148.4,110,0,FALSE
MA,80,no,148.6,106,2,FALSE
CA,37,no,191.1,69,0,FALSE
MN,161,no,218.5,76,1,FALSE
VT,137,no,97.5,95,1,FALSE
CT,123,no,128.7,126,0,FALSE
WV,80,no,236.6,69,2,FALSE
WV,94,no,85.9,113,0,FALSE
NE,105,no,141.2,96,1,FALSE
NC,73,no,194.4,104,0,FALSE
NE,112,no,167.6,100,2,FALSE
IL,179,no,234.5,134,1,FALSE
MA,57,no,154.2,78,1,FALSE
AZ,127,no,143.2,99,1,FALSE
SD,122,yes,216.4,80,1,FALSE
MT,33,no,161.9,85,1,FALSE
VT,94,no,118.7,90,3,FALSE
UT,100,no,179.1,123,1,FALSE
HI,106,no,147.9,97,2,FALSE
DC,148,no,209.2,110,2,FALSE
WI,120,no,244.3,140,0,FALSE
UT,91,no,175.3,96,1,FALSE
WA,86,no,150.5,92,1,FALSE
SD,78,no,197.4,73,0,FALSE
MT,94,no,163.5,136,1,FALSE
NJ,85,no,236.9,93,2,TRUE
CT,89,no,82.3,77,1,FALSE
VA,128,no,216,111,1,FALSE
NC,115,yes,180,119,1,FALSE
AK,76,no,143.7,55,1,FALSE
MD,75,no,198.2,107,1,FALSE
IL,90,no,185.6,106,2,FALSE
CT,30,no,137.6,108,3,FALSE
KS,105,yes,273.9,119,1,TRUE
MA,102,no,125.3,92,3,FALSE
NJ,83,no,178.8,102,3,FALSE
AR,63,no,214.9,86,0,FALSE
MS,155,no,163,93,2,FALSE
ND,82,no,163.8,77,2,FALSE
IN,87,no,189.5,113,1,FALSE
MI,115,no,155.2,110,0,FALSE
AR,99,yes,242.3,102,0,TRUE
VT,121,yes,254.1,127,3,FALSE
WV,54,no,112,90,2,FALSE
ME,105,no,115.5,73,3,FALSE
IA,73,no,137.1,102,1,FALSE
CT,95,no,198.4,113,0,FALSE
NM,21,no,132.7,94,3,FALSE
OR,163,no,219.6,99,2,FALSE
VT,57,no,169.6,96,0,FALSE
RI,104,yes,160.4,73,4,FALSE
RI,83,no,95,89,0,FALSE
NM,141,no,160.1,87,2,FALSE
AL,95,no,194.6,114,3,FALSE
MT,184,no,236.4,73,1,TRUE
CT,74,no,157.1,95,2,FALSE
TN,67,no,179.8,125,0,FALSE
ID,104,yes,148.2,108,0,FALSE
TX,71,no,183.2,103,1,FALSE
NH,149,no,119.2,88,4,TRUE
ND,154,no,224,102,0,FALSE
SC,138,no,19.5,149,0,FALSE
KS,117,no,184.8,83,1,FALSE
ME,130,no,176.3,140,1,FALSE
RI,73,no,241.7,115,2,FALSE
WI,100,no,224.7,121,0,FALSE
NC,149,no,207.3,115,1,FALSE
OH,29,no,196.8,81,2,FALSE
WY,131,no,110.9,74,1,FALSE
NJ,153,no,122.5,145,2,FALSE
ND,84,no,226.9,144,2,FALSE
WI,133,no,187,65,2,FALSE
KY,112,no,170.5,113,0,FALSE
NY,87,no,204.8,101,0,FALSE
MO,72,no,165.9,114,2,FALSE
AZ,66,no,154,133,4,TRUE
MN,65,no,158.1,104,1,FALSE
CO,74,no,225.2,93,2,FALSE
MD,116,no,159.4,79,6,TRUE
AR,68,no,172.7,95,2,FALSE
TN,68,no,222.8,99,3,FALSE
DE,54,yes,214.1,77,1,FALSE
TN,99,no,54.8,92,1,FALSE
WI,107,no,134,104,3,FALSE
WV,124,no,184.8,74,1,FALSE
CT,95,no,283.1,112,3,FALSE
MN,173,no,291.8,143,0,TRUE
MO,110,no,222.7,94,1,FALSE
VA,102,no,174.5,79,0,FALSE
NH,130,no,68.4,86,0,FALSE
OK,91,no,273,78,1,FALSE
CT,64,yes,225.3,134,1,TRUE
TN,176,no,283.2,130,1,FALSE
MD,93,yes,131.4,78,1,TRUE
WI,84,no,89.7,87,1,FALSE
SD,138,no,127.1,102,3,FALSE
ND,101,no,105.9,132,1,FALSE
VA,136,no,142.3,79,2,FALSE
UT,111,no,191.3,80,2,FALSE
MA,132,no,201.9,93,0,FALSE
SD,128,no,247.3,91,3,FALSE
AL,92,no,242.2,96,1,FALSE
AL,197,yes,127.3,80,5,TRUE
WV,191,no,162,104,1,FALSE
SC,99,no,179.1,93,2,FALSE
FL,106,no,197.4,125,3,FALSE
KY,88,no,148.2,82,2,FALSE
UT,78,no,193.1,85,0,FALSE
NY,98,no,171.7,99,1,FALSE
MS,17,no,198.5,123,1,FALSE
NH,56,no,121.7,87,1,FALSE
VA,84,no,130.2,105,2,FALSE
VT,95,no,203.4,96,2,FALSE
WY,16,no,174.7,83,5,FALSE
NV,76,yes,241,120,1,TRUE
WV,93,no,141.7,95,0,FALSE
WA,83,no,134.8,96,2,FALSE
KS,123,no,163.1,119,1,FALSE
VT,64,no,145.5,116,1,FALSE
OK,82,no,329.8,73,0,TRUE
GA,107,no,194.5,97,2,FALSE
CO,110,no,131.9,93,1,FALSE
AK,96,no,150,91,1,FALSE
TN,47,no,196.6,93,2,FALSE
KY,115,no,99.7,107,2,FALSE
PA,69,no,143.6,88,3,FALSE
CT,163,no,231.9,56,2,FALSE
CT,90,no,37.8,80,3,FALSE
MN,98,no,72.8,107,3,FALSE
WY,90,no,94.8,89,1,FALSE
PA,174,no,221.8,143,1,FALSE
OR,95,no,269,120,2,TRUE
PA,79,no,268.3,114,1,TRUE
OK,123,no,198.7,127,1,FALSE
VT,99,no,115.5,75,7,TRUE
ID,114,no,202.1,100,2,FALSE
PA,141,no,215.6,113,1,FALSE
NM,132,no,169.9,107,1,FALSE
FL,133,no,201.7,85,0,FALSE
TX,133,no,221.1,133,4,FALSE
VT,93,no,218.7,117,2,FALSE
MA,34,no,293.7,89,2,TRUE
OR,140,no,120.3,108,4,TRUE
DE,96,no,175.8,96,2,FALSE
FL,144,no,278.5,95,1,TRUE
ID,24,no,236.3,105,3,FALSE
MD,54,no,273.8,113,1,FALSE
WV,50,no,131.1,129,5,TRUE
ID,92,no,167.4,83,4,FALSE
NV,96,no,197.7,68,3,FALSE
OH,146,no,169.5,93,2,FALSE
ID,138,yes,225.2,116,0,FALSE
SC,102,no,174.5,73,4,FALSE
MO,76,no,129.7,84,5,TRUE
NE,99,no,200,66,3,FALSE
NC,83,no,95.9,87,0,FALSE
ME,36,no,152.8,110,1,FALSE
MI,70,no,129.9,102,1,FALSE
AZ,109,yes,268.4,85,2,TRUE
AZ,100,no,188.5,152,2,FALSE
HI,104,no,170.6,97,1,FALSE
NJ,106,no,191.4,124,1,FALSE
MS,84,no,75.3,96,1,FALSE
MA,80,no,149.8,123,2,FALSE
SC,100,no,115.9,87,1,FALSE
MN,99,no,128.8,86,2,FALSE
WV,50,no,131.7,108,1,FALSE
MS,105,no,101.4,48,1,FALSE
VA,113,no,149,104,4,FALSE
MS,111,no,96.8,123,2,FALSE
NM,161,no,107.5,121,2,FALSE
TX,70,no,232.8,95,0,TRUE
HI,97,no,121.1,105,3,FALSE
WA,130,no,124.3,70,0,FALSE
WI,92,no,157.7,101,1,FALSE
CO,119,no,124.3,68,0,FALSE
NV,115,no,286.4,125,1,TRUE
RI,134,no,141.7,95,0,FALSE
VA,127,no,173,91,0,FALSE
NJ,80,no,268.7,120,2,TRUE
ND,153,no,218.5,130,0,FALSE
MN,85,no,255.3,114,3,FALSE
HI,79,no,41.9,124,1,FALSE
ND,35,no,260.8,87,1,FALSE
WI,120,no,239.4,94,0,FALSE
MN,68,no,226.7,94,0,FALSE
DC,60,no,179.3,147,1,TRUE
KS,120,no,158,110,1,FALSE
MT,71,no,175.7,82,1,FALSE
WV,124,no,157.4,107,3,FALSE
ME,23,no,113.1,74,1,TRUE
WY,225,no,182.7,142,1,FALSE
NY,181,yes,161.3,83,0,TRUE
VT,63,no,142.5,92,2,FALSE
NC,54,yes,190.5,108,2,TRUE
MO,80,yes,159.3,110,1,FALSE
NC,118,yes,153.8,106,1,FALSE
NJ,42,yes,180.7,127,2,FALSE
OH,134,no,202.7,105,0,FALSE
TX,66,no,190.8,100,0,FALSE
WA,66,no,205.1,102,2,FALSE
TN,127,no,235.6,124,1,FALSE
HI,146,no,189.3,77,0,FALSE
WY,93,no,166.9,101,1,FALSE
CT,77,no,245.2,87,0,TRUE
NM,111,no,132.6,125,4,TRUE
NJ,125,no,182.3,64,2,FALSE
AL,115,no,192.3,86,2,FALSE
MN,115,yes,122,110,2,TRUE
NC,114,no,193,101,2,FALSE
OH,106,no,158.6,112,0,FALSE
ND,118,no,91.5,125,2,FALSE
CO,59,no,153.6,92,1,FALSE
ND,87,yes,221.6,79,1,FALSE
NY,21,no,244.7,81,1,FALSE
WI,142,no,239.8,103,0,FALSE
WY,62,no,172.4,132,0,FALSE
OR,149,no,242.5,83,3,TRUE
CO,54,no,117.6,82,2,FALSE
LA,112,no,174.5,127,1,FALSE
AL,68,no,157.3,83,1,FALSE
TX,201,no,192,97,1,FALSE
PA,88,no,218.2,76,1,FALSE
IL,85,no,144.6,97,1,FALSE
DE,51,yes,153.6,108,0,TRUE
MO,45,no,135.8,104,2,FALSE
AR,116,no,160.7,69,0,FALSE
OH,146,no,202.5,91,1,FALSE
WI,63,no,152.2,119,1,FALSE
GA,133,no,227.4,90,0,FALSE
KY,125,no,191.6,115,2,FALSE
OH,72,no,138.9,111,1,FALSE
TN,130,no,127,102,0,FALSE
SD,97,no,168.6,87,1,FALSE
NY,54,no,286.6,73,1,TRUE
GA,160,no,164.6,121,1,FALSE
TX,79,no,144,90,1,FALSE
WV,92,no,141.6,95,0,FALSE
MI,59,no,204.3,65,1,FALSE
ND,132,no,163.2,80,1,FALSE
NE,21,no,225,110,0,FALSE
SD,93,no,176.1,103,2,FALSE
NJ,147,no,254.2,78,5,FALSE
AK,101,no,174.9,105,1,FALSE
CT,125,yes,187.3,118,0,TRUE
CO,63,no,211.8,84,3,FALSE
MD,107,no,241.9,102,0,FALSE
ND,110,no,196.1,103,3,FALSE
NH,83,no,231.3,100,3,FALSE
MN,117,no,161.6,104,1,FALSE
KY,124,no,194,103,0,FALSE
NH,115,no,109.7,148,3,FALSE
CO,156,yes,277,119,1,FALSE
KY,89,no,192.1,83,0,FALSE
KY,72,no,198.4,147,0,FALSE
IN,101,no,209.2,82,0,FALSE
OR,53,no,184.8,98,2,FALSE
SD,116,no,167.8,119,2,FALSE
DE,78,no,139.2,140,3,FALSE
OR,117,no,221.3,82,0,FALSE
NE,56,no,121.6,84,1,FALSE
OH,123,no,270.4,99,1,FALSE
OH,127,no,139.6,94,2,FALSE
AR,116,no,253,78,2,FALSE
KS,138,no,183.9,83,1,FALSE
TX,120,no,203.3,108,3,FALSE
WI,102,no,200.6,106,3,FALSE
OR,95,no,167.6,96,2,FALSE
VA,102,no,156.5,67,2,FALSE
AR,89,no,215.1,140,1,FALSE
CT,50,no,301.7,82,1,FALSE
OH,93,no,152.3,90,7,FALSE
WY,68,no,195.4,116,1,FALSE
IL,70,no,208.7,97,2,FALSE
MO,138,no,190.1,87,0,FALSE
DC,141,no,185.4,87,4,FALSE
MA,112,no,183.2,95,0,FALSE
NH,117,yes,54.2,100,1,TRUE
IA,1,no,208,115,1,FALSE
AL,70,no,230.3,110,1,FALSE
OR,87,no,240.8,102,2,FALSE
WV,52,no,195.7,119,2,FALSE
WA,97,no,276.1,82,0,TRUE
NV,105,no,166.1,93,2,FALSE
SC,77,no,135.9,117,4,TRUE
NC,80,yes,189.1,122,2,TRUE
NH,120,no,177.9,117,1,FALSE
WY,54,no,143.9,73,2,FALSE
FL,148,yes,148.2,138,2,FALSE
PA,119,no,287.1,115,2,TRUE
NC,162,no,179.7,144,1,TRUE
MO,85,no,165.8,96,5,TRUE
KS,101,no,144.1,144,1,FALSE
KY,172,no,172.5,85,0,FALSE
DE,80,no,199.8,138,1,FALSE
WI,67,no,109.1,134,2,FALSE
CO,86,no,171.8,106,1,FALSE
NM,107,no,222.3,101,1,TRUE
DE,133,no,245.8,102,0,FALSE
IL,116,no,164.6,110,0,FALSE
WA,63,no,211.7,107,0,FALSE
MA,119,yes,147.2,103,0,TRUE
OH,133,yes,254.7,103,0,TRUE
TN,94,yes,170.1,113,1,FALSE
MA,69,no,195.1,91,0,FALSE
MI,146,no,149.3,83,7,TRUE
TX,119,no,81.9,75,2,TRUE
NH,142,yes,191.1,109,0,FALSE
MD,123,no,206.9,115,3,FALSE
MS,101,no,239,156,1,TRUE
AZ,43,no,179.3,97,0,FALSE
IN,69,no,185.3,91,0,FALSE
NY,15,yes,141.4,80,2,FALSE
WI,107,no,248.6,91,1,FALSE
WV,67,no,152.5,131,2,FALSE
NY,99,no,145.6,102,1,FALSE
OK,46,no,164.2,116,1,FALSE
NC,55,yes,221,115,1,FALSE
KY,39,no,295.4,126,1,TRUE
TX,92,no,139.8,98,2,FALSE
CT,56,no,162.3,99,4,TRUE
NE,76,no,272.7,97,0,TRUE
HI,132,yes,200.3,75,2,FALSE
SC,140,no,157.1,77,1,FALSE
AK,51,yes,135.8,60,2,FALSE
SD,27,no,236.7,110,1,FALSE
ID,224,no,111.4,133,3,FALSE
OK,105,yes,156.1,89,0,TRUE
WA,117,no,191.1,93,2,FALSE
SD,91,no,153,123,1,TRUE
OH,135,no,218.8,123,4,FALSE
VA,146,no,205.4,101,3,FALSE
WI,147,yes,225.2,111,0,TRUE
IN,68,no,249.9,127,2,TRUE
NM,68,no,131.6,89,3,FALSE
HI,86,no,197.9,99,0,FALSE
KY,131,no,166.5,129,1,FALSE
OH,86,no,225.4,79,1,FALSE
VT,159,no,275.8,103,2,TRUE
AZ,134,no,142.9,105,1,FALSE
VT,113,no,207.2,113,1,FALSE
MO,132,no,206.2,100,1,FALSE
AL,85,no,210.3,66,1,FALSE
NJ,93,yes,225.7,117,1,TRUE
WA,174,no,167.8,91,4,TRUE
NY,61,no,197.7,118,2,FALSE
DC,91,no,169.8,105,1,FALSE
NE,88,no,190.6,104,2,FALSE
MA,88,no,80.3,140,2,FALSE
VT,195,no,231.7,110,0,FALSE
NM,182,no,69.1,114,0,FALSE
CO,118,no,188.8,60,4,FALSE
NH,103,no,150.6,125,8,TRUE
IL,65,no,192,89,2,FALSE
UT,61,no,163.7,78,3,FALSE
WV,172,no,211.7,100,1,FALSE
NJ,72,no,175.5,103,1,FALSE
NM,113,no,150.1,120,2,FALSE
ND,177,no,189.5,99,1,FALSE
WA,100,no,70.8,94,6,TRUE
NM,67,no,215.5,102,1,FALSE
DE,136,no,101.7,105,3,FALSE
GA,71,no,258.4,132,4,FALSE
HI,134,no,242.4,126,1,FALSE
CT,124,no,131.8,82,1,FALSE
NJ,84,no,190.2,102,2,FALSE
ME,39,no,154.1,104,2,FALSE
OK,110,no,188,127,3,FALSE
TN,102,no,103.1,70,1,FALSE
WY,70,no,175.4,130,0,FALSE
NY,142,no,145.4,93,1,FALSE
DE,81,yes,250.6,85,1,FALSE
RI,17,no,161.5,123,1,FALSE
PA,119,no,260.1,101,1,TRUE
HI,105,no,281.3,124,0,TRUE
MD,108,yes,130.1,90,3,TRUE
VA,90,no,102,118,2,FALSE
IN,100,no,218.7,104,1,FALSE
OR,155,no,128.5,86,1,FALSE
AZ,113,no,128.7,100,2,TRUE
WI,123,no,172.2,92,1,FALSE
VA,145,no,199.2,124,1,FALSE
MO,42,no,184.5,98,2,FALSE
NV,125,no,168.6,99,0,FALSE
HI,131,no,174,118,1,FALSE
WA,107,no,230.4,65,1,FALSE
IL,48,no,198.2,73,1,FALSE
IL,76,no,186.1,96,0,FALSE
LA,128,no,148.5,105,1,FALSE
WI,73,no,157.1,109,0,FALSE
TX,52,no,155,110,4,TRUE
MI,126,yes,129.3,123,1,FALSE
NC,124,no,188.5,77,1,FALSE
WA,137,no,208.8,120,0,FALSE
ND,71,no,238,82,0,TRUE
NE,139,no,211.1,103,0,FALSE
MS,107,no,198.9,87,3,FALSE
KY,147,no,212.8,79,1,FALSE
RI,116,no,137.4,126,3,FALSE
NY,60,no,191.8,75,2,FALSE
TX,38,no,149,92,0,FALSE
DE,63,no,117.1,118,3,FALSE
NM,94,no,108,79,3,FALSE
RI,131,no,112.8,133,0,FALSE
MS,158,no,175.9,105,1,FALSE
NY,139,no,236.6,109,1,TRUE
NE,77,no,169.4,102,1,FALSE
WI,140,no,129.6,79,3,FALSE
KY,72,no,177.1,97,1,FALSE
SD,52,no,133.3,63,1,FALSE
VA,103,no,167.8,121,5,FALSE
KS,74,no,174.6,107,1,FALSE
ND,124,no,150.3,101,2,FALSE
CO,85,no,283.2,110,5,FALSE
KY,113,no,157.8,83,5,TRUE
WA,71,no,141.2,132,2,FALSE
NV,177,no,230.2,106,1,FALSE
SC,49,yes,237.8,92,2,TRUE
RI,106,yes,204,84,3,TRUE
ID,60,no,221.1,106,1,FALSE
KY,43,no,177.2,93,4,FALSE
ME,66,no,118,133,1,FALSE
SD,125,no,163.8,73,0,FALSE
SC,114,no,141.3,96,3,FALSE
TN,112,no,272.5,119,3,TRUE
MT,101,no,118.9,112,2,FALSE
WI,70,no,7.9,100,0,FALSE
AK,59,no,159.5,96,0,FALSE
AZ,59,no,150.2,70,1,FALSE
MT,124,no,144.5,35,2,FALSE
DE,99,no,140.7,88,2,FALSE
VA,150,no,169.2,123,1,FALSE
MA,81,no,220.8,77,2,FALSE
IN,86,no,216.3,96,0,FALSE
MD,84,no,169.5,96,0,FALSE
NV,118,no,256.3,119,1,FALSE
CO,89,no,179.7,128,1,FALSE
